Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LB_Req,30000,19,1,951,83.73,45.727%,500.00000,759.23,32.07,1554.9
BE_Req,30000,259,1,1902,368.84,45.763%,499.82506,775.75,33.36,1589.3
TOTAL,60000,139,1,1902,293.16,45.745%,243.71123,374.16,15.95,1572.1
